ingredients,t_ingredient_name,normalized_name
紅蘿蔔,紅蘿蔔,紅蘿蔔
小黃瓜,小黃瓜,小黃瓜
大蒜,大蒜,蒜
火腿,火腿,豬肉
鹽(醃黃瓜用),鹽,鹽
沙拉醬(我用桂冠沙拉),沙拉醬,沙拉醬
高粱醋(或白醋,高粱醋(或白醋,高粱
米醋),米醋),米
砂糖,砂糖,糖
黑胡椒或白胡椒,黑胡椒或白胡椒,胡椒
雞胸肉,雞胸肉,雞肉
小黃瓜,小黃瓜,小黃瓜
蒜頭,蒜頭,蒜
鹽,鹽,鹽
辣椒(配色用可略),辣椒,辣椒
糖,糖,糖
鹽,鹽,鹽
醬油,醬油,醬油
醬油膏(無可用醬油),醬油膏,醬油膏
米酒,米酒,米酒
白胡椒,白胡椒,白胡椒
香油,香油,芝麻油
太白粉,太白粉,太白粉
四季豆,四季豆,四季豆
白芝麻,白芝麻,芝麻
薑泥,薑泥,薑
大蒜,大蒜,蒜
醬油,醬油,醬油
白醋,白醋,白醋
麻油,麻油,芝麻油
雞胸肉,雞胸肉,雞肉
杏鮑菇,杏鮑菇,杏鮑菇
辣椒,辣椒,辣椒
蒜頭,蒜頭,蒜
九層塔,九層塔,九層塔
米酒,米酒,米酒
鹽和糖,鹽和糖,糖
醬油,醬油,醬油
白胡椒,白胡椒,白胡椒
太白粉,太白粉,太白粉
蘿蔔糕,蘿蔔糕,米
蒜,蒜,蒜
辣椒,辣椒,辣椒
蔥,蔥,蔥
紅蘿蔔,紅蘿蔔,紅蘿蔔
XO醬,XO醬,XO醬
油蔥酥,油蔥酥,油蔥酥
水,水,水
醬油,醬油,醬油
薑片,薑片,薑
青蔥,青蔥,蔥
洋蔥,洋蔥,洋蔥
辣椒,辣椒,辣椒
雞翅,雞翅,雞翅
可樂,可樂,糖
醬油,醬油,醬油
蘑菇：,蘑菇：,蘑菇
洋蔥：,洋蔥：,洋蔥
麵粉：,麵粉：,麵粉
奶油：,奶油：,牛奶
松本茸：,松本茸：,松本茸
罐頭清雞湯：,罐頭清雞湯：,雞肉
牛奶：,牛奶：,牛奶
蒜粉：,蒜粉：,蒜
鹽：,鹽：,鹽
黑胡椒：,黑胡椒：,黑胡椒
雞胸肉,雞胸肉,雞肉
蘆筍,蘆筍,蘆筍
鹽,鹽,鹽
奧勒岡葉,奧勒岡葉,奧勒岡葉
黑胡椒,黑胡椒,黑胡椒
檸檬,檸檬,檸檬
酸豆,酸豆,長豆
奶油,奶油,奶油
沙拉油,沙拉油,食用油
薑末,薑末,薑
蒜末,蒜末,蒜
蔥花,蔥花,蔥
豬絞肉,豬絞肉,豬肉
辣豆瓣醬,辣豆瓣醬,豆瓣醬
粉絲 (料理之前先泡水),粉絲 ,粉絲
高湯,高湯,高湯
醬油,醬油,醬油
米酒,米酒,米酒
砂糖,砂糖,糖
白胡椒粉,白胡椒粉,白胡椒粉
辣椒,辣椒,辣椒
花椒油,花椒油,食用油
小魚乾,小魚乾,魚
大蒜,大蒜,蒜
豆干,豆干,黃豆
黑豆豉,黑豆豉,黑豆
紅辣椒,紅辣椒,辣椒
蔥,蔥,蔥
醬油,醬油,醬油
米酒,米酒,米酒
油炸花生米,油炸花生米,食用油
昆布,昆布,昆布
柴魚片,柴魚片,柴魚
水,水,水
味噌,味噌,味噌
嫩豆腐,嫩豆腐,豆腐
蔥花,蔥花,蔥
豬絞肉,豬絞肉,豬肉
日本豆腐（或本地豆腐）,日本豆腐,黃豆
蒜末,蒜末,蒜
薑泥,薑泥,薑
蔥花,蔥花,蔥
醬油,醬油,醬油
蠔油,蠔油,蠔油
鹽,鹽,鹽
糖,糖,糖
胡椒粉,胡椒粉,胡椒
料理酒,料理酒,料理酒
水,水,水
蛤蜊,蛤蜊,蛤蜊
絲瓜,絲瓜,絲瓜
薑絲,薑絲,薑
蒜末,蒜末,蒜
料理米酒,料理米酒,米酒
小磨坊蒜風味油,小磨坊蒜風味油,食用油
蝦仁,蝦仁,蝦
蛋,蛋,雞蛋
蔥花,蔥花,蔥
鮮奶（牛奶）,鮮奶,牛奶
鹽,鹽,鹽
糖,糖,糖
胡椒粉,胡椒粉,胡椒
料理酒,料理酒,料理酒
太白粉,太白粉,太白粉
麻油,麻油,芝麻油
洋蔥,洋蔥,洋蔥
醬油,醬油,醬油
米酒,米酒,米酒
味醂,味醂,味醂
水,水,水
牛肉片,牛肉片,牛肉
白飯,白飯,米飯
大白菜,大白菜,大白菜
麵筋,麵筋,麵粉
紅蘿蔔,紅蘿蔔,紅蘿蔔
蒜,蒜,蒜
醬油,醬油,醬油
鹽,鹽,鹽
太白粉,太白粉,太白粉
吐司或麵包片,吐司或麵包片,小麥
太陽蛋,太陽蛋,雞蛋
無糖優格（或希臘優格）,無糖優格,優格
蜂蜜或糖,蜂蜜或糖,蜂蜜
奶油,奶油,奶油
乾辣椒片,乾辣椒片,辣椒
白醋,白醋,白醋
豬絞肉,豬絞肉,豬肉
高麗菜,高麗菜,高麗菜
蒜頭,蒜頭,蒜
韭菜,韭菜,韭菜
薑,薑,薑
水餃皮,水餃皮,小麥
芝麻油,芝麻油,食用油
鹽,鹽,鹽
醬油,醬油,醬油
料理酒（米酒）,料理酒,料理酒
豆腐,豆腐,豆腐
絞肉,絞肉,豬肉
小辣椒,小辣椒,辣椒
花椒,花椒,花椒
蔥,蔥,蔥
薑,薑,薑
義大利麵,義大利麵,義大利麵
培根,培根,培根
大蒜,大蒜,蒜
起司粉,起司粉,起司
酪梨,酪梨,酪梨
大蒜,大蒜,蒜
九層塔或羅勒,九層塔或羅勒,九層塔
檸檬汁,檸檬汁,檸檬
水,水,水
起司粉,起司粉,起司
鹽,鹽,鹽
黑胡椒,黑胡椒,黑胡椒
包心白菜,包心白菜,白菜
紅蘿蔔,紅蘿蔔,紅蘿蔔
炸豆皮,炸豆皮,食用油
梅花肉絲,梅花肉絲,豬肉
紅蔥頭,紅蔥頭,紅蔥頭
蒜頭,蒜頭,蒜
乾香菇,乾香菇,香菇
蝦米,蝦米,蝦
熱水,熱水,水
塩巴,塩巴,塩巴
白胡椒粉,白胡椒粉,白胡椒粉
雞肉,雞肉,雞肉
雞蛋,雞蛋,雞蛋
洋蔥,洋蔥,洋蔥
高湯,高湯,高湯
醬油,醬油,醬油
味霖,味霖,味醂
蔥絲,蔥絲,蔥
海苔,海苔,海苔
酒,酒,酒
絲瓜,絲瓜,絲瓜
杏鮑菇,杏鮑菇,杏鮑菇
薑,薑,薑
鹽巴,鹽巴,鹽
枸杞,枸杞,枸杞
食用油,食用油,食用油
水,水,水
蝦仁,蝦仁,蝦
雞蛋,雞蛋,雞蛋
太白粉水,太白粉水,太白粉
鹽,鹽,鹽
油,油,食用油
蔥花,蔥花,蔥
米酒,米酒,米酒
蛋,蛋,雞蛋
牛奶,牛奶,牛奶
花生醬,花生醬,花生
低筋麵粉,低筋麵粉,麵粉
泡打粉,泡打粉,泡打粉
巧克力,巧克力,牛奶
香蕉片,香蕉片,香蕉
可可粉,可可粉,可可粉
雞蛋,雞蛋,雞蛋
秋葵,秋葵,秋葵
紅蘿蔔絲,紅蘿蔔絲,紅蘿蔔
鹽,鹽,鹽
五香粉,五香粉,五香粉
食用油,食用油,食用油
薄豆干,薄豆干,豆腐
蒜頭,蒜頭,蒜
辣椒,辣椒,辣椒
家樂福嚴選宜蘭三星蔥,家樂福嚴選宜蘭三星蔥,蔥
水,水,水
鹽(事前煮豆干用),鹽,鹽
曰式鏗魚醬油,曰式鏗魚醬油,鏗魚
米酒,米酒,米酒
砂糖,砂糖,糖
白胡椒,白胡椒,白胡椒
五香粉,五香粉,五香粉
香油,香油,芝麻油
熟地瓜,熟地瓜,地瓜
牛奶,牛奶,牛奶
威士忌,威士忌,威士忌
薑母粉或薑泥,薑母粉或薑泥,薑
鹽,鹽,鹽
糖或蜂蜜或楓糖,糖或蜂蜜或楓糖,蜂蜜
核桃或胡桃碎,核桃或胡桃碎,核桃
韓式冬粉,韓式冬粉,冬粉
菠菜,菠菜,菠菜
木耳,木耳,木耳
香菇,香菇,香菇
紅蘿蔔,紅蘿蔔,紅蘿蔔
黃椒,黃椒,甜椒
洋蔥,洋蔥,洋蔥
蒜末,蒜末,蒜
豬肉絲（或牛肉絲）,豬肉絲,豬肉
煮冬粉的水,煮冬粉的水,水
糖,糖,糖
醬油,醬油,醬油
米酒,米酒,米酒
黑胡椒粉,黑胡椒粉,胡椒粉
白菜,白菜,白菜
扁魚,扁魚,魚
蝦米,蝦米,蝦
碰皮(炸豬皮),碰皮,豬肉
蒜末,蒜末,蒜
鹽巴,鹽巴,鹽
香油,香油,芝麻油
豬骨,豬骨,豬骨
水,水,水
全麥土司,全麥土司,小麥
融化的奶油,融化的奶油,奶油
細砂糖,細砂糖,糖
葡萄乾,葡萄乾,葡萄乾
萊姆酒,萊姆酒,萊姆
家樂福進口卡士達塔預拌粉,家樂福進口卡士達塔預拌粉,牛奶
牛奶,牛奶,牛奶
雞胸肉,雞胸肉,雞肉
黑胡椒,黑胡椒,黑胡椒
鹽,鹽,鹽
奶油,奶油,奶油
大蒜片,大蒜片,大蒜
第戎芥末（有籽的）,第戎芥末,芥末籽
蜂蜜,蜂蜜,蜂蜜
豬絞肉,豬絞肉,豬肉
醬油,醬油,醬油
細砂糖,細砂糖,糖
檸檬汁,檸檬汁,檸檬
米酒,米酒,米酒
蒜瓣,蒜瓣,大蒜
九層塔葉,九層塔葉,九層塔
小辣椒,小辣椒,辣椒
小蕃茄,小蕃茄,蕃茄
鮮蝦,鮮蝦,蝦
綠蘆筍,綠蘆筍,蘆筍
洋蔥,洋蔥,洋蔥
鹽巴,鹽巴,鹽
黑胡椒粉,黑胡椒粉,胡椒粉
米酒,米酒,米酒
沙拉油,沙拉油,食用油
蒜末,蒜末,蒜
米酒,米酒,米酒
鹽巴,鹽巴,鹽
絲瓜,絲瓜,絲瓜
白麵線,白麵線,小麥
蝦米,蝦米,蝦
蛋,蛋,雞蛋
蔥,蔥,蔥
鹽,鹽,鹽
腰內肉或豬五花,腰內肉或豬五花,豬肉
豆干,豆干,黃豆
蒜泥,蒜泥,蒜
辣椒,辣椒,辣椒
醬油膏,醬油膏,醬油膏
白胡椒粉,白胡椒粉,白胡椒粉
醬油,醬油,醬油
米酒,米酒,米酒
蛋白,蛋白,雞蛋
太白粉,太白粉,太白粉
馬鈴薯,馬鈴薯,馬鈴薯
青椒,青椒,青椒
花椒,花椒,花椒
泡(或剝皮辣椒),泡,
皮蛋,皮蛋,皮蛋
韭菜花,韭菜花,韭菜花
豆鼓,豆鼓,黃豆
蒜頭,蒜頭,蒜
辣椒末,辣椒末,辣椒
開水(汆燙米粉用),開水,水
米粉(熱水燙過),米粉,米粉
橄欖油(炒香菇用),橄欖油,橄欖油
乾香菇(泡水切絲),乾香菇,香菇
橄欖油(炒蝦米用),橄欖油,橄欖油
乾蝦米(熱水燙過),乾蝦米,蝦米
豬肉絲(醃30分),豬肉絲,豬肉
蒜片(豬肉醃料)(去膜切片),蒜片,蒜
鹽巴(豬肉醃料),鹽巴,鹽
胡椒鹽(豬肉醃料),胡椒鹽,鹽
油蔥酥,油蔥酥,油蔥酥
鹽巴,鹽巴,鹽
高麗菜(切絲),高麗菜,高麗菜
紅蘿蔔(切絲),紅蘿蔔,紅蘿蔔
香菜(可省略),香菜,香菜
豬絞肉,豬絞肉,豬肉
糯米椒,糯米椒,糯米椒
豆乾,豆乾,豆乾
大蒜,大蒜,蒜
植物油,植物油,食用油
醬油,醬油,醬油
鹽,鹽,鹽
胡椒,胡椒,胡椒
蝦草仁,蝦草仁,蝦
蒜碎,蒜碎,蒜
蔥花,蔥花,蔥
米酒,米酒,米酒
板豆腐,板豆腐,豆腐
蔥花,蔥花,蔥
薑泥,薑泥,薑
醬油,醬油,醬油
味醂,味醂,味醂
開水,開水,水
雞粉,雞粉,雞粉
韮菜花,韮菜花,韭菜
白豆包,白豆包,豆包
大辣椒,大辣椒,辣椒
鹽,鹽,鹽
味素（亦可不加）,味素,味素
炒菜油,炒菜油,食用油
冬粉,冬粉,冬粉
豬絞肉,豬絞肉,豬肉
五花肉片,五花肉片,五花肉
高麗菜絲,高麗菜絲,高麗菜
紅蘿蔔絲,紅蘿蔔絲,紅蘿蔔
洋蔥,洋蔥,洋蔥
油麵,油麵,食用油
日式炒麵醬,日式炒麵醬,黃豆
蛋,蛋,雞蛋
海苔粉,海苔粉,海苔
柴魚、美乃滋,柴魚、美乃滋,魚肉
絲瓜,絲瓜,絲瓜
蛤蜊,蛤蜊,蛤蜊
薑片,薑片,薑
手工麵線,手工麵線,小麥
麻油,麻油,芝麻油
雞蛋,雞蛋,雞蛋
豬五花,豬五花,豬肉
小黃豆干5片,小黃豆干5片,黃豆
洋蔥,洋蔥,洋蔥
青蔥,青蔥,蔥
碎蒜頭,碎蒜頭,蒜頭
辣椒,辣椒,辣椒
米酒(豬肉用),米酒,米酒
醬油,醬油,醬油
豆瓣醬(辣的),豆瓣醬,豆瓣醬
清水,清水,水
米酒,米酒,米酒
鹽,鹽,鹽
嫩豆腐,嫩豆腐,豆腐
豬絞肉,豬絞肉,豬肉
大蒜,大蒜,蒜
薑,薑,薑
辣椒,辣椒,辣椒
川麻醬（或辣椒醬）,川麻醬,芝麻
鮭魚,鮭魚,鮭魚
豆腐,豆腐,豆腐
海帶芽,海帶芽,海帶
味噌,味噌,味噌
青蔥,青蔥,蔥
水,水,水
米酒,米酒,米酒
洋蔥,洋蔥,洋蔥
去骨雞腿肉,去骨雞腿肉,雞肉
醬油（醃肉）,醬油,醬油
水,水,水
黑胡椒,黑胡椒,黑胡椒
鹹蛋黃,鹹蛋黃,鹹蛋黃
透抽,透抽,透抽
米酒,米酒,米酒
香料共和國白胡椒粉,香料共和國白胡椒粉,胡椒
鹽,鹽,鹽
蛋黃,蛋黃,雞蛋
中筋麵粉,中筋麵粉,麵粉
卡士達粉,卡士達粉,牛奶
蒜頭,蒜頭,蒜
蔥,蔥,蔥
辣椒,辣椒,辣椒
TGM大馬士革鋼廚具刀,TGM大馬士革鋼廚具刀,非食材
DOMO單紅柄零重力深炒平底鍋,DOMO單紅柄零重力深炒平底鍋,金屬
豬絞肉(細),豬絞肉,豬肉
高麗菜(脫水),高麗菜,高麗菜
紅蘿蔔(脱水),紅蘿蔔,紅蘿蔔
南瓜(脫水),南瓜,南瓜
蔥,蔥,蔥
水餃皮(市售),水餃皮,小麥
塩,塩,鹽
蛋,蛋,雞蛋
太白粉,太白粉,太白粉
香油,香油,芝麻油
白胡椒粉,白胡椒粉,白胡椒粉
雞胸肉,雞胸肉,雞肉
金針菇,金針菇,金針菇
小黃瓜,小黃瓜,小黃瓜
蒜,蒜,蒜
辣椒,辣椒,辣椒
醬油,醬油,醬油
烏醋,烏醋,烏醋
糖,糖,糖
白胡椒粉,白胡椒粉,白胡椒粉
香油,香油,芝麻油
冷壓橄欖油,冷壓橄欖油,食用油
鹽,鹽,鹽
牛里肌,牛里肌,牛肉
洋蔥,洋蔥,洋蔥
蒜頭,蒜頭,蒜
辣椒,辣椒,辣椒
蔥,蔥,蔥
醬油,醬油,醬油
黑胡椒醬,黑胡椒醬,食用油
鹽,鹽,鹽
豬絞肉,豬絞肉,豬肉
九層塔,九層塔,九層塔
檸檬,檸檬,檸檬
番茄,番茄,番茄
蒜頭,蒜頭,蒜
辣椒,辣椒,辣椒
蠔油,蠔油,蠔油
醬油,醬油,醬油
魚露,魚露,魚露
味醂,味醂,味醂
洋蔥(切丁),洋蔥,洋蔥
青椒、黃椒、玉米粒等(切丁),青椒、黃椒、玉米粒等,青椒
小熱狗(切丁),小熱狗,熱狗
綠葉蔬菜(切細),綠葉蔬菜,蔬菜
乳酪絲或起司,乳酪絲或起司,起司
融化的奶油,融化的奶油,奶油
鬆餅粉,鬆餅粉,麵粉
鮮奶,鮮奶,牛奶
蛋,蛋,雞蛋
蕃薯粉,蕃薯粉,蕃薯
太白粉,太白粉,太白粉
鹽,鹽,鹽
水,水,水
豬油,豬油,食用油
鮮蚵,鮮蚵,蚵
永齡農場 小白菜,永齡農場 小白菜,小白菜
水,水,水
味噌,味噌,味噌
番茄醬,番茄醬,番茄醬
糖,糖,糖
辣椒粉,辣椒粉,辣椒
太白粉水,太白粉水,太白粉
鮮蚵,鮮蚵,蚵
嫩豆腐,嫩豆腐,豆腐
乾豆豉,乾豆豉,豆
青蔥,青蔥,蔥
薑末,薑末,薑
蒜頭,蒜頭,蒜
地瓜粉,地瓜粉,地瓜粉
醬油,醬油,醬油
蠔油,蠔油,蠔油
米酒,米酒,米酒
糖,糖,糖
溫開水,溫開水,水
鮭魚(厚度約2.5cm),鮭魚,鮭魚
熟毛豆,熟毛豆,黃豆
熟五穀米飯(冷飯),熟五穀米飯,穀物
海鹽,海鹽,鹽
黑胡椒,黑胡椒,黑胡椒
豆皮片,豆皮片,黃豆
小黃瓜,小黃瓜,小黃瓜
紅蘿蔔,紅蘿蔔,紅蘿蔔
黑木耳,黑木耳,木耳
香菜,香菜,香菜
蔥,蔥,蔥
醬油膏,醬油膏,醬油膏
香油,香油,芝麻油
塩,塩,鹽
胡椒粉,胡椒粉,胡椒
嫩豆腐,嫩豆腐,豆腐
細絞肉,細絞肉,豬肉
蔥,蔥,蔥
蒜頭,蒜頭,蒜
辣豆瓣醬,辣豆瓣醬,豆瓣醬
醬油,醬油,醬油
味醂,味醂,味醂
白胡椒粉,白胡椒粉,白胡椒粉
香油,香油,芝麻油
水,水,水
太白粉水,太白粉水,太白粉
板豆腐切小塊,板豆腐切小塊,豆腐
高麗菜絲,高麗菜絲,高麗菜
洋蔥絲,洋蔥絲,洋蔥
青蔥絲,青蔥絲,青蔥
味噌,味噌,味噌
天然柴魚包（柴魚片）,天然柴魚包,柴魚
火鍋牛肉片,火鍋牛肉片,牛肉
洋蔥,洋蔥,洋蔥
蔥,蔥,蔥
白飯,白飯,米飯
水,水,水
醬油,醬油,醬油
米酒,米酒,米酒
糖,糖,糖
醋(可略),醋,白醋
薑泥,薑泥,薑
鹽,鹽,鹽
厚片吐司,厚片吐司,麵粉
苦甜巧克力塊,苦甜巧克力塊,可可豆
香蕉,香蕉,香蕉
板豆腐,板豆腐,豆腐
蒜頭,蒜頭,蒜
辣椒,辣椒,辣椒
蔥,蔥,蔥
客家桔醬,客家桔醬,桔
水,水,水
醬油,醬油,醬油
糖,糖,糖
紅甜椒,紅甜椒,甜椒
小番茄,小番茄,番茄
羅勒或九層塔,羅勒或九層塔,羅勒
洋蔥,洋蔥,洋蔥
大蒜,大蒜,蒜
冰的高湯+水,冰的高湯+水,雞肉
橄欖油,橄欖油,橄欖油
鹽和黑胡椒,鹽和黑胡椒,黑胡椒
帕瑪森起司粉,帕瑪森起司粉,乳酪
牛肉片,牛肉片,牛肉
葱,葱,葱
辣椒(不吃辣可省),辣椒,辣椒
甜椒(不吃辣者配色用),甜椒,甜椒
水,水,水
米酒,米酒,米酒
糖,糖,糖
醬油,醬油,醬油
蠔油,蠔油,蠔油
香油,香油,芝麻油
高筋麵粉,高筋麵粉,麵粉
蛋,蛋,雞蛋
植物油,植物油,食用油
蔥(自己種的有機蔥),蔥,蔥
麥片,麥片,燕麥
可不加女兒愛才加的 😊,可不加女兒愛才加的 😊,未定義
鹽,鹽,鹽
低筋麵粉,低筋麵粉,麵粉
無糖可可粉,無糖可可粉,可可粉
無鋁泡打粉,無鋁泡打粉,泡打粉
蛋,蛋,雞蛋
黑糖,黑糖,糖
低糖花生醬,低糖花生醬,花生
水,水,水
玉米脆片,玉米脆片,玉米
花生,花生,花生
小黃瓜,小黃瓜,小黃瓜
豆干,豆干,黃豆
辣椒,辣椒,辣椒
蔥,蔥,蔥
蒜泥,蒜泥,蒜
火鍋豆腐,火鍋豆腐,豆腐
蔥,蔥,蔥
水,水,水
油,油,食用油
蒜末,蒜末,蒜
辣椒,辣椒,辣椒
糖,糖,糖
曰式香菇醬油醬40ml,曰式香菇醬油醬40ml,黃豆
雞蛋,雞蛋,雞蛋
砂糖,砂糖,糖
低筋麵粉,低筋麵粉,麵粉
奶油,奶油,奶油
甜橙皮,甜橙皮,甜橙
柳橙汁,柳橙汁,柳橙
去皮去骨雞腿排,去皮去骨雞腿排,雞肉
雞蛋,雞蛋,雞蛋
蔥,蔥,蔥
洋蔥,洋蔥,洋蔥
柴魚片,柴魚片,柴魚
醬油,醬油,醬油
味醂,味醂,味醂
米酒,米酒,米酒
去骨雞腿肉,去骨雞腿肉,雞肉
高麗菜,高麗菜,高麗菜
洋蔥,洋蔥,洋蔥
紅蘿蔔,紅蘿蔔,紅蘿蔔
蔥,蔥,蔥
水,水,水
芝麻油,芝麻油,食用油
年糕條,年糕條,糯米
起司絲,起司絲,起司
蒜末,蒜末,蒜
薑末,薑末,薑
韓式辣椒醬,韓式辣椒醬,辣椒醬
醬油,醬油,醬油
糖,糖,糖
米酒,米酒,米酒
豬絞肉,豬絞肉,豬肉
辣椒,辣椒,辣椒
蒜頭,蒜頭,蒜
豆豉,豆豉,豆豉
韭菜花,韭菜花,韭菜花
米酒,米酒,米酒
鹽,鹽,鹽
糖,糖,糖
香油,香油,芝麻油
NEOFLAM 不沾炒鍋,NEOFLAM 不沾炒鍋,無主要食材
櫛瓜,櫛瓜,櫛瓜
細絞肉,細絞肉,豬肉
紅蘿蔔,紅蘿蔔,紅蘿蔔
大蒜,大蒜,蒜
醬油,醬油,醬油
糖,糖,糖
鹽,鹽,鹽
醬油,醬油,醬油
白胡椒,白胡椒,白胡椒
米酒,米酒,米酒
鹽,鹽,鹽
白麻油,白麻油,食用油
杏鮑菇,杏鮑菇,杏鮑菇
青蔥,青蔥,蔥
辣椒,辣椒,辣椒
蒜末,蒜末,蒜
白胡椒粉,白胡椒粉,白胡椒粉
鹽,鹽,鹽
毛豆,毛豆,黃豆
蝦仁,蝦仁,蝦
雞蛋,雞蛋,雞蛋
黑胡椒,黑胡椒,黑胡椒
油,油,食用油
細麵條2人份,細麵條2人份,麵粉
沙茶醬,沙茶醬,沙茶醬
醬油,醬油,醬油
糖,糖,糖
白醋,白醋,白醋
香油,香油,芝麻油
飲用水,飲用水,水
花枝丸,花枝丸,花枝丸
鹹蛋黃,鹹蛋黃,鹹蛋黃
蒜末,蒜末,蒜
青蔥花,青蔥花,青蔥
辣椒（可省略）,辣椒,辣椒
鹽巴,鹽巴,鹽
胡椒鹽,胡椒鹽,鹽
豬絞肉,豬絞肉,豬肉
大蒜,大蒜,蒜
紅蔥頭,紅蔥頭,紅蔥頭
辣椒,辣椒,辣椒
九層塔,九層塔,九層塔
小蕃茄,小蕃茄,蕃茄
檸檬,檸檬,檸檬
蠔油,蠔油,蠔油
魚露,魚露,魚露
醬油,醬油,醬油
味醂,味醂,味醂
豆腐,豆腐,豆腐
小黃瓜,小黃瓜,小黃瓜
蘋果泥,蘋果泥,蘋果
日式干貝醬油,日式干貝醬油,干貝
七味粉,七味粉,香料
蒜末,蒜末,蒜
蘋果醋,蘋果醋,醋
糖,糖,糖
香油,香油,芝麻油
熟白芝麻,熟白芝麻,芝麻
油麵,油麵,食用油
豬肉絲,豬肉絲,豬肉
紅蘿蔔,紅蘿蔔,紅蘿蔔
青蔥,青蔥,蔥
高麗菜,高麗菜,高麗菜
洋蔥,洋蔥,洋蔥
水,水,水
醬油,醬油,醬油
烏醋,烏醋,烏醋
糖,糖,糖
白胡椒粉,白胡椒粉,白胡椒粉
鹽,鹽,鹽
嫩豆腐,嫩豆腐,豆腐
豬絞肉,豬絞肉,豬肉
鮮香菇,鮮香菇,香菇
蒜頭,蒜頭,蒜
米酒,米酒,米酒
醬油,醬油,醬油
胡椒粉,胡椒粉,胡椒
鹽,鹽,鹽
豆乾（切小塊）,豆乾,豆乾
辣椒（去籽切末）,辣椒,辣椒
香菜（切小段）,香菜,香菜
蒜頭（切末）,蒜頭,蒜
香油,香油,芝麻油
醬油膏,醬油膏,醬油膏
辣豆瓣醬,辣豆瓣醬,豆瓣醬
麻辣醬,麻辣醬,食用油
市售燻培根,市售燻培根,豬肉
四季豆,四季豆,四季豆
鹽,鹽,鹽
油,油,食用油
絲瓜切片,絲瓜切片,絲瓜
豆腐切1公分小丁,豆腐切1公分小丁,大豆
雞蛋,雞蛋,雞蛋
枸杞,枸杞,枸杞
蝦皮(可省略),蝦皮,蝦肉
高湯或水(可省略),高湯或水,"高湯, 水"
鹽,鹽,鹽
柴魚粉(可省略),柴魚粉,柴魚粉
油,油,食用油
苦瓜,苦瓜,苦瓜
食用油,食用油,食用油
水,水,水
蒜頭,蒜頭,蒜
醬油,醬油,醬油
鹽巴,鹽巴,鹽
砂糖,砂糖,糖
青龍,青龍,青龍
紅辣椒,紅辣椒,辣椒
馬鈴薯,馬鈴薯,馬鈴薯
玫瑰鹽,玫瑰鹽,鹽
橄欖油,橄欖油,橄欖油
奶油,奶油,奶油
絲瓜,絲瓜,絲瓜
金針菇,金針菇,金針菇
鹽巴,鹽巴,鹽
水,水,水
洋蔥,洋蔥,洋蔥
火鍋豆腐,火鍋豆腐,豆腐
青葱,青葱,青葱
嫩薑,嫩薑,薑
豆瓣醬,豆瓣醬,豆瓣醬
醬油,醬油,醬油
糖,糖,糖
水,水,水
太白粉水,太白粉水,太白粉
香油,香油,芝麻油
雞蛋,雞蛋,雞蛋
蔥,蔥,蔥
豆腐,豆腐,豆腐
醬油,醬油,醬油
鹽,鹽,鹽
太白粉,太白粉,太白粉
蒜頭,蒜頭,蒜
洋蔥,洋蔥,洋蔥
豆芽菜,豆芽菜,豆芽菜
橄欖油,橄欖油,橄欖油
長條甜不辣,長條甜不辣,魚肉
青蔥,青蔥,蔥
洋蔥,洋蔥,洋蔥
青江菜,青江菜,青江菜
白芝麻,白芝麻,芝麻
白醋 (糖醋醬汁),白醋 ,白醋
細砂糖 (糖醋醬汁),細砂糖 ,糖
蕃茄醬 (糖醋醬汁),蕃茄醬 ,番茄醬
太白粉水 (糖醋醬汁),太白粉水 ,太白粉
水煮竹篙筍,水煮竹篙筍,竹筍
肉燥,肉燥,豬肉
蒜頭,蒜頭,蒜
豆瓣醬,豆瓣醬,豆瓣醬
橄欖油,橄欖油,橄欖油
水,水,水
嫩薑,嫩薑,薑
鹽巴,鹽巴,鹽
砂糖,砂糖,糖
醬油膏,醬油膏,醬油膏
麻油（或馨香或橄欖油）,麻油,芝麻油
紅殼雞皮蛋(或松花皮蛋),紅殼雞皮蛋,雞蛋
香菜,香菜,香菜
辣椒,辣椒,辣椒
盒裝豆腐,盒裝豆腐,黃豆
蔥切 重花,蔥切 重花,蔥
和風沙拉醬汁（柚子風味）,和風沙拉醬汁,食用油
芥末醬,芥末醬,芥末籽
五花肉條,五花肉條,豬肉
味增,味增,味噌
豆瓣醬,豆瓣醬,豆瓣醬
米霖,米霖,米
牛肉絲,牛肉絲,牛肉
蔥,蔥,蔥
紅辣椒,紅辣椒,辣椒
米酒,米酒,米酒
醬油,醬油,醬油
白胡椒(可省略),白胡椒,白胡椒
太白粉(可省略),太白粉,太白粉
綠花椰菜,綠花椰菜,花椰菜
白花椰菜,白花椰菜,花椰菜
熟鹹蛋,熟鹹蛋,鴨蛋
蒜末,蒜末,蒜
青蔥,青蔥,蔥
辣椒（可省略）,辣椒,辣椒
小黃瓜,小黃瓜,小黃瓜
雞蛋,雞蛋,雞蛋
紅蘿蔔,紅蘿蔔,紅蘿蔔
蒜頭,蒜頭,蒜
鹽,鹽,鹽
米酒,米酒,米酒
鹽,鹽,鹽
黑胡椒粒,黑胡椒粒,胡椒粒
馬鈴薯（小）,馬鈴薯,馬鈴薯
紅辣椒,紅辣椒,辣椒
鹽,鹽,鹽
香油,香油,芝麻油
白醋,白醋,白醋
味醂,味醂,味醂
Tabasco,Tabasco,辣椒
山椒粉,山椒粉,山椒
