ingredients,Unit,Grams_Per_Unit
冰塊,大杯,450.0
麵粉,碗,150.0
乾麵條,~4條,15.0
全麥春捲皮,包,300.0
啤酒酵母,碗,120.0
新鮮高麗菜,顆,1200.0
生辣椒,條,10.0
鴨胗,個,65.0
C.月桂葉,片,1.0
芹菜,小段,15.0
烘焙紙20公分,張,0.0
電鍋蒸架,個,0.0
A.醬油,碗,220.0
香菇,~8朵,20.0
玻璃罐,個,0.0
白酒糟,個,0.0
冷開水,碗,220.0
可頌麵包,個,70.0
紅捲鬚生菜,片,7.0
滷包袋,個,70.0
雪蛤,錢,3.78
冰糖,碗,150.0
香草莢,支,4.0
炸豆包皮,片,15.0
清水,c.c,1.0
伊麵,塊,90.0
盒裝燕麥豆腐,盒,350.0
醃梅肉,顆,15.0
A.鮮蝦,隻,20.0
豬肉排,片,200.0
糙米飯,半碗,90.0
壽司飯,碗,180.0
豌豆苗,小束,75.0
紫高麗菜,約1/6個,250.0
紅蘿蔔,小段,15.0
冷凍酥皮,片,50.0
牛頭牌咖哩湯塊,顆,150.0
水,c,240.0
麻辣醬,大匙半,25.0
蛤蜊高湯塊,塊,12.0
桔子,顆,120.0
A.紅辣椒,支,15.0
香蕉片,片,12.0
蔥絲,碗,40.0
嫩薑絲,碗,40.0
青蒜絲,碗,40.0
香菜末,碗,40.0
辣椒絲,碗,15.0
烏龍茶,錢,3.78
七葉膽,錢,3.78
豬舌,條,250.0
港式滷汁,鍋,0.0
炸豆包末,片,15.0
法國麵包,支,280.0
杏鮑菇塊,根,75.0
洋蔥碎,顆,150.0
番茄丁,顆,50.0
迷迭香,支,7.0
原味起司片,片,23.0
鮮蝦,隻,20.0
A.高麗菜葉,片,15.0
炸雞捲,條,65.0
芹菜梗,條,40.0
B.香菇絲,朵,15.0
牛肉火鍋片,片,12.0
竹籤,枝,0.0
里肌肉大排骨,片,200.0
香油,酌量,0.0
A.豆干,塊,70.0
水煮蛋,片,12.0
青椒片,顆,15.0
蒜苗片,支,20.0
五加皮,錢,3.78
鮮香菇絲,朵,15.0
五穀糯米飯,碗,180.0
腩排,塊,350.0
桂皮,根,10.0
新鮮櫻桃,顆,7.0
棉花糖,顆,6.0
洋芋片,盒,75.0
葡萄果醬,罐,300.0
牛奶,盒,240.0
細砂糖,大匙半,18.0
傳統板豆腐,盒,350.0
罐頭肉醬,罐,300.0
"內餡材料1：
細砂糖",公,1.0
Ｂ.菊花和玫瑰,共5朵,15.0
Ｃ.菊花和玫瑰,共5朵,15.0
雞腿肉,支,120.0
香橙,個,200.0
萵苣,片,7.0
青蔥碎,支,15.0
8吋戚風蛋糕,片(1公分厚),65.0
白甘蔗,根,500.0
罐裝啤酒,罐,340.0
白醋,C.C,1.0
保溫杯,個,0.0
小金橘,顆,15.0
市售炸麵線,片,75.0
A.高湯,CC,1.0
玉米心,枝,75.0
金棗,粒,7.0
蜜餞果,粒,7.0
吐司圓片,片,30.0
番茄切片,片,7.0
小黃瓜,隻,75.0
柳橙汁,c.c,1.0
濃口醬油,c.c,1.0
味醂,c.c,1.0
香菜,小支,4.0
3.土司,片,30.0
蒜,小段,10.0
麵糰,~8個,240.0
淋汁:水,CC,1.0
雞小腿,隻,30.0
有機黃豆,公公克,0.0
豆腐模型,個,0.0
布巾,條,0.0
奶粉,碗,100.0
定溫發酵器,台,0.0
A.嫩豆腐,盒,320.0
白芝麻,份量,10.0
日式細麵,把,80.0
冰塊水,大碗,750.0
B.紅蔥頭,粒,15.0
肥腸,條,150.0
中型紅番茄,顆,120.0
"辛香料：
青蔥",支,15.0
小玉西瓜,顆,1500.0
紅火龍果,顆,450.0
柳橙果肉,個,75.0
雜糧麵包,顆,65.0
歐式大吉嶺茶包,包,2.5
糖果薄荷,支,20.0
核桃,粒,3.0
腰果,粒,1.5
蕎麥麵,把,80.0
香吉士,顆,200.0
甜柿,顆,200.0
香瓜,半顆,750.0
昆布,條,15.0
厚保麗龍材質發酵器,個,0.0
香腸,根,60.0
番茄醬,大匙半,22.5
印尼炒麵,包,85.0
香菜末,株,25.0
白桃,顆,200.0
奇異果泥,個,90.0
紫地瓜,條,200.0
節瓜,條,200.0
A.餅皮,張,40.0
b.茂谷柑,顆,120.0
竹筷子,雙,0.0
切片吐司,片,30.0
活性乳酸菌粉,平匙,4.0
碗豆莢,片,1.5
"焦糖蘋果：
蘋果",顆,200.0
蘿蔔糕,盒,750.0
B.巨峰葡萄,顆,12.0
甜橙,顆,200.0
柿餅,片,40.0
優格原菌粉,罐,30.0
烹飪用溫度計,支,0.0
蘆筍,小把,120.0
"炸粉：
蛋",顆,55.0
九層塔,數片,1.0
a.紅甜椒,顆,180.0
小黃瓜,條拍扁,120.0
鯛魚肉,片,150.0
紫蘇,片,0.8
迷迭香,根,3.0
雞翅,支,100.0
3.大白皮,張,30.0
B.蔥,支,15.0
餐包,顆,40.0
鮮美露,CC,1.0
黃豆乾,塊,75.0
公仔麵,塊,85.0
花生醬,又1/2茶匙,2.5
香蕉,半條,70.0
鳳梨釋迦,個,350.0
米酒,湯匙,15.0
烤盤,個,0.0
韓式泡菜,小罐,300.0
糖炒栗子,粒,8.0
A.草蝦,尾,25.0
日式涼麵沾醬,小碗,120.0
菠菜千層麵,片,25.0
動物性鮮奶油油,CC,1.0
檸檬,瓣,15.0
胡椒粉,酌量,0.0
大腸頭,條,150.0
小藍莓罐頭,罐,350.0
巧克力海綿蛋糕,片,75.0
"裝飾：
巧克力片",片,8.0
生鹹蛋黃,顆,18.0
干貝,個,20.0
C.皮蛋,顆,60.0
罐頭螺肉,罐,250.0
酒,量杯,240.0
水,量杯,240.0
2.豆腐,塊,350.0
冰沙機,台,0.0
刀,支,0.0
沾板,片,0.0
肉雞腿,隻,250.0
D.糖漬栗子,顆,18.0
B.焗烤布丁模,個,0.0
腸衣,條,0.0
"便當材料：
火腿",片,18.0
去骨雞腿排,支,180.0
帶子,粒,25.0
"麵衣：
雞蛋",顆,55.0
A.帶骨雞腿,支,280.0
醬鳳梨,片,40.0
茂谷柑,個,180.0
乾荷葉,大張,0.0
大蕃茄片,片,25.0
去骨炸雞腿,隻,180.0
鮮奶,瓶,1000.0
雪白菇,包,120.0
蟹肉棒,根,18.0
鹹蛋,顆,60.0
蝦仁,粒,5.0
柳橙肉桂茶,茶包,0.0
冰塊,~3顆,54.0
翅小腿,支,40.0
小荳蔻,粒,12.0
蒜片,瓣,4.0
糖水,㏄(1oz),30.0
土魠魚,塊,150.0
鳩康地杏仁蛋糕體,片,80.0
去骨雞腿排,隻,180.0
冷凍白飯,碗,180.0
帶骨雞腿,支,280.0
二節雞翅,支,40.0
無骨牛小排,片,70.0
德式香腸,條,80.0
肉燥,鍋,0.0
豬骨高湯,鍋,0.0
油蔥酥,碗,60.0
貢丸,個,18.0
蒜頭醋,碗,220.0
A.雞蛋,顆,55.0
乾荷葉,張,0.0
羊排,支,150.0
胡麻豆腐,塊,350.0
干貝,粒,8.0
鯛魚片,小片,80.0
白吐司,條,30.0
巧克力煙卷飾片,根,0.0
起司,塊,100.0
義大利麵,公公克,1.0
松子,公公克,1.0
糖,?小匙,4.0
地瓜粉,碗,150.0
韭菜,~4支,48.0
熟筍丁,碗,250.0
大蛤蠣,顆,40.0
A.南瓜湯頭,鍋,1500.0
玉米,段,100.0
荷蘭豆莢,根,20.0
去骨雞腿,隻,200.0
魯味包,包,10.0
"煮物料：
A菜",支,150.0
貢丸,顆,20.0
甜不辣,片,20.0
米血,塊,100.0
水晶餃,個,20.0
泡麵,包,90.0
肉骨茶包,包,20.0
高湯塊,塊,15.0
翡翠椒,條,180.0
鱸魚,隻,180.0
D.蔥,根,10.0
摩卡壺,具,0.0
奶油槍,支,113.0
瓦斯爐架,具,0.0
紅椒,條,150.0
秋刀魚,尾,150.0
白蝦,隻,10.0
Ｂ.蝦仁,隻,10.0
魚片,片,120.0
透抽片,片,10.0
巴西里末,湯匙,15.0
蛤蠣,~8顆,20.0
滷肉,片,30.0
乾干貝,個,5.0
黑麻油,∼2大匙,15.0
米酒,半瓶,350.0
2.高麗菜,小片,20.0
紅蘿蔔,小塊,50.0
4.起士片,片,25.0
羊小排,片,120.0
腰果,量杯,120.0
雞丁,量杯,200.0
熟紅蘿蔔丁,量杯,200.0
甜豆丁,量杯,180.0
鮮香菇丁,量杯,150.0
百合,朵,50.0
虱目魚頭,個,150.0
B.青蔥,支,10.0
牛小排,塊,300.0
扇貝,個,20.0
冬粉,半把,40.0
苦瓜,片,20.0
小辣椒,條,5.0
雞血,塊,100.0
魷魚,隻,180.0
綠花椰,顆,1000.0
火鍋肉片,盒,250.0
小滷包,包,200.0
"沾料：
青蒜片",公分,0.0
白醋,∼4大匙,15.0
童子雞,隻,750.0
去殼栗子,個,12.0
鮮人蔘,根,40.0
B.高湯,CC,1.0
豬里肌,塊,30.0
燻起司片,片,20.0
鬆餅麵糊,份,70.0
旗魚,片,150.0
洋蔥絲,粒,1.0
螺肉罐頭,罐,200.0
泡魷魚,尾,50.0
水,罐,330.0
帶殼大明蝦,隻,25.0
B.西芹,根,40.0
去骨雞腿肉,付,200.0
蘑菇,粒,20.0
罐裝蕃茄,顆,60.0
醬油,∼6滴,0.3
豬舌,個,250.0
甘蔗,公分,0.0
丹麥麵包基礎麵糰,份,80.0
豬皮,半斤,300.0
春雞,隻,750.0
菠菜,株,250.0
沙拉油,又1/2小匙,2.25
雞腿塊,支,200.0
餛飩,粒,1.0
米鴨,隻,2000.0
蒲燒鰻魚,隻,150.0
2.小蕃茄,個,15.0
漢堡麵包,個,60.0
漢堡肉,個,120.0
生菜絲,片,5.0
醬油,小匙鹽,0.0
千張,張,15.0
咖哩塊,小3塊,45.0
薰衣草香精,滴,0.05
細蘆筍,支,12.0
大白菜,棵,1500.0
火鍋料:凍豆腐,塊,25.0
魚丸,顆,12.0
20度料理米酒,中匙,15.0
1.蛋豆腐,盒,140.0
2.刺參,條,200.0
草蝦仁,尾,8.0
蚵,粒,20.0
蟹腿肉,支,75.0
泡酒的紅棗,粒,8.0
麻油雞調理包,包,20.0
雞絲麵,包,90.0
香蕉片,~3片,21.0
石斑魚,尾,750.0
金華火腿,塊,15.0
泡發乾香菇,朵,25.0
牛奶,量杯,240.0
B.麵粉,量杯,125.0
烏龍麵,人份,90.0
"白鍋：
蒜仁",顆,4.0
黨蔘,根,30.0
香料包,包,10.0
中型馬鈴薯,顆,175.0
米酒,∼5大匙,75.0
蒜末,∼3大匙,27.0
檸檬片,數片,15.0
豬肥腸,條,75.0
螃蟹,隻,350.0
"淋汁材料：
酒",CC,1.0
蛋白,又1/2個,35.0
土司片,片,28.0
"內餡：
綠竹筍",支,150.0
珠蔥,支,15.0
"裝飾：
草莓",粒,15.0
加州鱸魚,尾,450.0
Ａ.雞胸肉,個,200.0
酸黃瓜片,片,7.0
眼魚肚,個,75.0
鰻魚,條,225.0
鮪魚,罐,185.0
厚皮披薩麵皮,片,150.0
烤鴨腿,隻,250.0
"材料A：
扇貝",個,35.0
A.青椒,個,50.0
淡菜,個,35.0
燻鮭魚,片,25.0
豬血糕,塊,75.0
椰子,顆,750.0
肉桂葉,片,1.5
三花奶水,罐,400.0
酥皮,片,75.0
十全大補藥材,份,80.0
2.餃子皮,張,7.0
蒜苗絲,束,75.0
阿根廷魷魚,隻,225.0
大雞腿,隻,250.0
九層塔,葉,0.7
去骨雞翅,隻,75.0
紫洋蔥圈,片,7.0
洋蔥,個,200.0
雞,隻(約1斤),600.0
山苦瓜,條,150.0
藥膳鍋湯底,鍋,100.0
福圓,粒,1.5
紅棗,-4粒,7.0
黨參片,根,20.0
"火鍋料：
高麗菜",棵,1000.0
仿土雞雞腿,隻,200.0
乾豬皮,張(20×15公分),30.0
金針,根,0.1
高湯,~4杯,240.0
紅辣椒圈,小條,3.0
肉醬,瓶,300.0
水,少量,0.0
蛋黃,粒,18.0
廣東A生菜,片,15.0
蒟蒻,公公克,1.0
蔥花,公公克,1.0
蒜末,公公克,1.0
絞肉,公公克,1.0
薑末,公公克,1.0
鮭魚,片,100.0
土司火腿片,片,15.0
鹹水雞腿,隻,200.0
茄汁鯖魚罐,瓶,400.0
蟳味棒,條,18.0
昆布海苔,片,7.0
A.紅腐乳,塊,12.0
B.糖,又1/2茶匙,2.0
萵苣,個,110.0
法式羔羊排,隻,600.0
潛艇堡麵包,個,120.0
整顆蒜球,個,45.0
肉骨茶藥包,份,40.0
越式春捲皮,片,3.0
蘿蔓,顆,70.0
中卷,尾,150.0
壓碎的蛋黃,粒,0.0
B.白飯,碗,180.0
芝心披薩麵包,片,200.0
美式沙拉米,片,7.0
"其它材料：
紅櫻桃",顆,6.0
黑櫻桃罐頭,半罐,225.0
苦甜巧克力塊,塊,75.0
"熟養三明治材料：
船型麵包",個,65.0
滷蛋,片,55.0
A.紅辣椒,根,7.0
鰹魚醬油,CC,1.0
太空鴨,隻,2250.0
雞柳薄片,片,20.0
熟鹹蛋黃,顆,18.0
雞翅腿,隻,100.0
白鯧魚,尾,300.0
芹菜,公分,0.0
月桂葉,數片,0.0
螺肉罐,罐,150.0
糯米飯,碗,180.0
里肉肉片,片,30.0
五香滷味包,包,15.0
蔥油餅皮,張,65.0
酸豆,顆,0.0
萵苣葉,片,0.5
香水椰子,顆,650.0
馬頭魚,尾,150.0
肉雞,隻,1500.0
蒜,瓣,5.0
滷汁,份,0.0
港式臘腸,條,40.0
港式肝腸,條,45.0
"工具：
食物處理機",台,0.0
魚丸,個,12.0
小餐包,個,40.0
花生豬腳,隻,400.0
土魠魚,片,75.0
木耳絲,片,2.0
Ａ.蛋,顆,55.0
Ｂ.起士片,片,22.0
原味塔皮,小個,20.0
香草蛋糕體,片,75.0
"裝飾：
巧克力裝飾片",片,3.0
扁魚乾,片,15.0
餛飩皮,片,1.5
紅酒,瓶,750.0
去骨肉雞腿,隻,200.0
紅糟腐乳,塊,12.0
夾心披薩麵皮,片,50.0
薑,~5片,3.0
陳皮,數片,2.0
桂皮,數片,3.0
八角,數片,1.5
紅辣椒,~2條,8.0
炸魚,尾,150.0
鮪魚,罐,180.0
帶骨土雞腿,隻,200.0
A.雞腿肉,支,150.0
白花菜,瓣,30.0
甜豆,條,1.5
B.全蛋,顆,55.0
南乳,塊,15.0
豬腳,圈,450.0
蟹味棒,條,20.0
D.香草精,數滴,0.1
洋蔥碎,個,150.0
活白蝦,隻,15.0
米飯,碗,180.0
螃蟹,尾,250.0
B.螃蟹,公隻,250.0
青江菜,跟,70.0
廣東生菜,片,5.0
大亨堡麵包,個,60.0
番茄,顆,150.0
牛角椒,條,70.0
鴨肉,隻,1800.0
洋蔥,？公克,0.0
市售萬用混包,個,300.0
水,又1/2碗,180.0
鮮干貝,顆,20.0
蝦子,隻,15.0
青蔥段,支,7.0
辣辣椒段,條,5.0
海帶,塊,20.0
肉燥滷汁,鍋,1500.0
壽司海苔,張,3.0
2.烏龍麵,人份,180.0
竹輪,個,40.0
鳳梨酥,數個,40.0
檸檬汁,粒,120.0
烏龍麵條,包,180.0
B.八角,顆,1.5
雞胸(帶骨),付,300.0
波士頓魔法師達人原味平底鍋,隻,0.0
紅蘿蔔花,片,3.0
大蒜,支,70.0
透抽,條,50.0
草菇,個,20.0
去骨仿土雞腿,隻,150.0
A.水煮蛋,顆,55.0
腐竹,根,10.0
鴨血,塊,150.0
去骨雞腿,隻,150.0
粄仔條,包,400.0
可頌餅,片,60.0
蘿蔔葉,片,3.0
肉雞腳,支,30.0
去骨大里肌肉片,片,50.0
厚蛋燒,條,150.0
綠豆粉皮,片,25.0
B.貢丸,顆,25.0
印度Q餅,張,100.0
西生菜葉,片,7.0
帶骨雞胸肉,塊,250.0
蘿蔓生菜,顆,400.0
燻雞肉片,片,20.0
棒棒腿,根,100.0
細拉麵,綑,90.0
小鯷魚,罐,120.0
鹹蛋白,顆,30.0
醬油,大匙肉片,15.0
"內餡：
板豆腐",又1/2塊,350.0
里肉排,片,150.0
"烤醬：
冷儭香茅",根,30.0
土司,條,28.0
紅蔥頭,個,150.0
豬腳,隻(約1斤),600.0
薑片,∼3片,7.0
干貝,小顆,3.0
漢堡肉,片,120.0
菜鴨,隻,2500.0
棉布藥包袋,個,0.0
"藥材：
杜仲",錢,3.75
玉竹,錢,3.75
當歸,錢,3.75
青耆,錢,3.75
白芍,錢,3.75
"英式奶油醬：
蛋黃",顆,18.0
大白菜,粒,1500.0
紅甜椒片,片,50.0
黃甜椒片,片,50.0
蘿蔔梗葉,支,40.0
小牛角麵包,個,40.0
起司小點心,個,60.0
韭菜,小把,40.0
土雞腿,隻,250.0
泰式檸檬葉,片,1.5
丁香,顆,0.15
小荳寇,顆,0.7
醃黃蘿蔔,-3片,7.0
雞高湯,罐,400.0
下水,付,0.0
蔥抓餅,片,110.0
法國麵包,小片,20.0
切達起司片,小片,20.0
臘腸,條,120.0
洋蔥末,個,0.0
母雞,隻,2000.0
1.去骨雞,隻,1500.0
3.紅蔥頭片,個,150.0
花蟹,隻,200.0
蕎麥春捲皮,張,7.0
熱狗,包,450.0
馬蹄,顆,15.0
粗地瓜粉,碗,160.0
烏魚子,片,3.0
四神包,包,80.0
當歸,-3片,1.5
香魚,條,2.0
豬尾巴,隻,100.0
蒜香滷汁,鍋,200.0
Ａ.雞翅,隻,60.0
炸過的蒜頭,數片,0.0
火腿末,片,15.0
蟹肉棒,條,18.0
壽司捲簾,個,150.0
好菇道雪白菇,包,120.0
豬網油,張,50.0
寬麵條,人份,120.0
水,又1/3杯,80.0
3.竹筒,個,0.0
1.蕃茄,個,120.0
豬腰,付,200.0
1.雞蛋,顆,55.0
蛤蠣,顆,180.0
廣陳皮,公分段,1.0
青椒圈,片,5.0
洋蔥圈,片,8.0
鮪魚生魚片,片,15.0
捲生菜,片,7.0
B.薄片五花肉,片,25.0
全蛋液,顆,55.0
青苦瓜,條,300.0
辣醬豬排,片,120.0
切邊吐司,片,30.0
西生菜,片,7.0
鯖魚片,片,100.0
燒竹輪,包,150.0
青苦瓜,段,120.0
4.鮮美鍋汁,包,100.0
皮蛋,粒,70.0
鹹蛋,粒,70.0
罐頭珍珠鮑,罐,150.0
小黃皮,半斤,300.0
竹莢魚,尾,150.0
蟹管肉,個,18.0
盒裝豆腐(切塊),盒,350.0
白飯,又1/2碗,90.0
裝飾用巧克力片,片,0.8
膳魔師達人原味湯鍋,只,0.0
立基起酥片,片,7.0
蜜汁火腿,片,18.0
B.當歸,片,2.0
豬心,粒,250.0
黃椒,條,200.0
發泡魷魚,隻,100.0
新鮮魷魚,隻,100.0
優格,罐,150.0
C.奇異果,個,85.0
雞屁股,個,25.0
鴨舌,支,12.0
紅蔥頭碎,顆,65.0
青蔥,隻,15.0
花瓜,罐,250.0
醃黃瓜,條,200.0
鮮奶,又1/3大匙,5.0
小洋芋,顆,75.0
新鮮百里香,支,1.5
八珍藥材,帖,30.0
小土雞,隻,1200.0
豆皮,塊,15.0
醋蘿蔔片,片,7.0
煙燻起士,片,25.0
火雞,隻,6000.0
去邊吐司,條,28.0
雞肝,又1/2kg,500.0
雞胗,又1/2kg,500.0
納豆,盒,45.0
含片,片,1.5
真空包竹筍,支,200.0
"裝飾：
青蔥段",支,12.0
香草豆,根,3.0
大里肌肉,片,75.0
檸檬塊,塊,15.0
當歸藥包,包,75.0
無骨雞胸肉,塊,200.0
奶油炒飯,份,250.0
鱸魚頭,顆,200.0
蘇打餅乾,片,7.0
1.蔥,根,25.0
A.水,CC,1.0
葡萄柚汁,CC,1.0
A.雞胸肉,塊,200.0
"中藥水材料：
當歸",片,7.0
餅乾:全蛋,顆,55.0
雞爪,隻,25.0
"麵糊：
低筋麵粉",碗,180.0
魚頭,個,200.0
雞心椒,根,7.0
咖哩葉,片,0.1
新鮮香茅,根,25.0
沙拉筍,顆,75.0
中藥材:當歸,片,7.0
大豬腳,支,750.0
紅目鰱,尾,300.0
龍蝦,隻,500.0
"材料：
鴨",隻,2000.0
"滷包材料Ａ：
甘草",片,7.0
紅蘿蔔,條,75.0
腿鴨腿,隻,250.0
紅甜椒圈,片,15.0
黃甜椒圈,片,15.0
"中藥材：
紅棗",顆,7.0
芍藥,片,7.0
"滷豬尾巴：
蔥",支,25.0
去骨雞胸肉,副,350.0
A.豬小里肌,片,40.0
基本原味瑞士捲,份,200.0
番茄粒罐頭,罐,400.0
大白皮,張,35.0
A.鱈魚,片,150.0
小白菜,支,150.0
糖,洗匙,4.0
椰子水,c.c,1.0
椰子,棵,750.0
南薑,塊,40.0
鮮奶油,c.c,1.0
原味蛋餅皮,片,65.0
炒過的黑芝麻,碗,150.0
乳酪片,片,20.0
"材料Ｂ：
紅蘿蔔",條,80.0
魚露,又1/3大匙,5.0
香菇片,朵,15.0
青蔥,約5g,5.0
生薑,約5g,5.0
紅蘿蔔,約5g,5.0
巧克力夾心餅乾,片,18.0
巧克力夾心棒,條,25.0
香草冰淇淋,小盒,120.0
圓鱈魚,塊,150.0
1.綜合菇類罐頭,罐,200.0
乳酪,片,20.0
蘆筍,支,15.0
壽司用紫蘇葉,片,1.0
豬里肌排,塊,150.0
培根片,片,15.0
白蝦,顆,15.0
芋頭冬瓜,圈,100.0
老薑,小段,20.0
Ｂ.全蛋,顆,55.0
咖哩葉,支,3.0
雞心椒,顆,5.0
Ｂ.紅辣椒,根,10.0
Ｃ.棉花糖,個,5.0
豬肝連,副,200.0
豬舌頭,個,250.0
綜合滷包,包,20.0
皇帝魚,尾,300.0
1.豬腳,隻,500.0
新鮮百里香,枝,2.0
冰糖,半碗,100.0
豆腐,半盒,175.0
韭菜,把(小),50.0
起司雞排,塊,180.0
紅蘿蔔,顆,80.0
芥菜心,株,150.0
乾百合,株,15.0
白滷水,鍋,2500.0
1.鹽,又1/4小匙,1.25
鮭魚,尾,300.0
豬血,塊,200.0
水,~2000ml,2000.0
酸辣湯,包,50.0
蒜頭末,粒,3.0
大亨堡麵包,條,60.0
大陸A菜,片,15.0
黃甜椒,顆,150.0
檸檬汁,數滴,0.5
6.櫻桃醬,罐,250.0
生水餃,顆,25.0
"材料2：
蔥",根,15.0
細米粉,包,200.0
香草豬排,片,150.0
蔥,枝,15.0
梅花火鍋肉片,盒,300.0
越式粉皮,張,12.0
A.雞腿,隻,200.0
麵粉水,碗,200.0
花椰菜,小朵,70.0
蒲燒鰻,尾,150.0
市售鮪魚罐,罐,150.0
冬蟲夏草茶包,包,10.0
"火鍋材料：
烏骨雞腿",隻,200.0
鮑魚菇,朵,40.0
"淋汁材料：
料酒",CC,1.0
雞湯塊,塊,10.0
泰國辣蝦方便麵,包,90.0
青花菜,大顆,400.0
百里香披薩麵皮,張,150.0
牛肉片,片,10.0
梅乾菜,紮,75.0
鴨胗,顆,40.0
雞腿肉,個,200.0
洋蔥圈,圈,10.0
青甘魚肉,片,15.0
菊花葉,大片,1.0
粉皮,張,50.0
蝦乾,個,5.0
荷葉,張,10.0
味附鮭魚,粒,15.0
富士蘋果,粒,250.0
黑橄欖,顆,4.0
粗蘆筍,支,15.0
翠綠青椒,個,200.0
黃甜玉米,條,200.0
鹽,小瓶,150.0
薄片油豆腐皮,大片,15.0
雞腿肉(小),小支,120.0
紅蘿蔔(小),條,80.0
蓮藕(小),節,150.0
甜味玉米粒,罐,300.0
發粉,又1/4小匙,1.25
香魚,尾,150.0
稀飯,碗,250.0
臭豆腐乳,塊,25.0
核桃,個,8.0
萵苣生菜,片,7.0
小黃魚,條,80.0
香草束,束,30.0
鮭魚,條,250.0
橘,個,150.0
盒裝豆腐,一盒,350.0
塔皮麵糰,份,120.0
綠色開心果,顆,1.0
新鮮鱸魚,尾,250.0
新鮮迷迭香,枝,3.0
薄荷葉,~7片,3.5
鱸魚頭,個(約1斤左右),600.0
1.大黃瓜皮,張,20.0
太白粉,又1/2小匙,2.5
陽春麵,球,120.0
"外皮：
草莓麻糬皮",片,10.0
大同電鍋,個,0.0
魚露,又1/2茶匙,2.5
鱈魚肝罐頭,一罐,120.0
薄荷葉,葉,0.5
"中藥：
當歸",片,2.0
泡發乾貝,大顆,20.0
薑末,小1匙,3.0
熟牛腱,個,40.0
紅辣椒,半根,4.0
"裝飾：
柳丁",個,0.2
千層麵,片,70.0
Ｂ.蛋,顆,55.0
五花豬肉火鍋片,片,15.0
原味巧克力蛋糕,份,120.0
翅腿,隻,65.0
兩節翅,隻,25.0
辣椒圈,小支,5.0
青蒜苗,支,15.0
青豆仁,顆,0.8
A.牛尾,根,150.0
鴨,約800公克,800.0
太白粉水,茶匙（,4.0
A.酥皮,張,70.0
腐竹,條,20.0
豌豆莢,個,1.5
醬油,中匙,10.0
鹽,量,0.0
香菇,∼6朵,15.0
香菜,酌量,0.0
培根,條,15.0
"內餡：
德式香腸",支,100.0
調味料包,全部,20.0
南瓜可樂餅,個,150.0
肉桂棒,枝,3.0
香草精,滴,0.05
"香料：
草果",顆,7.0
醬油膏,大杯,250.0
鮭魚片,片,150.0
牛蕃茄,粒,15.0
百里香葉碎,∼3公克,3.0
黑輪,條,3.0
粗米粉,包,200.0
鮮奶酪,個,150.0
昆布,片,20.0
蒲燒鰻魚,尾,200.0
1.鰻魚,片,75.0
3.茄子,條,300.0
4.白飯,碗,180.0
香菇,∼4朵,15.0
蔥油餅麵糰,份,250.0
番茄片,片,15.0
白帶魚,塊,150.0
乾辣椒段,根,0.5
"裝飾：
辣椒絲",條,1.0
鮪魚小罐頭,罐,100.0
乳酪絲,碗,150.0
麵包棒,根,20.0
鯷魚罐頭,個,160.0
粗陽春麵,球,100.0
Ａ.馬鈴薯,個,200.0
Ｂ.可頌麵包,個,60.0
美生菜,大片,15.0
三明治用火腿片,片,25.0
棉花糖,個,7.0
市售焦糖絲,片,10.0
雞排,片,120.0
培根末,片,5.0
A.冬瓜,圈,300.0
B.高麗菜,片,70.0
泡麵胡椒鹽粉包,包,8.0
牛頭牌雞湯塊,顆,12.0
鹹蛋黃,粒,18.0
蒜頭,大棵,70.0
嫩薑,半斤,300.0
香草豆莢,根,4.0
冬筍,根,200.0
番茄切片,片,15.0
鯛魚片,片,30.0
白煮蛋,顆,50.0
蔥花,支,30.0
味增,又1/2小匙,2.5
"餡料5：
蘋果",個,200.0
九層塔葉,約3~5片,2.0
A.牛肚,個,200.0
C.新鮮香茅,根,35.0
泰式乾辣椒,個,1.5
龍蝦,尾,500.0
傳統雞排,片,200.0
1.八角,粒,1.5
陽春麵,份,150.0
咖哩粉,又1/2小匙,1.5
大可頌,個,100.0
青辣椒丁,顆,5.0
番茄湯底,鍋,2000.0
高麗菜葉,大片,70.0
盒裝蛋豆腐,盒,320.0
柴魚絲,小包,8.0
玉米粉,碗,180.0
五香滷水,鍋,2000.0
"湯底材料：
市售壽喜汁",罐,400.0
"煮物料：
牛蒡",支,200.0
大白菜,片,70.0
1.小黃瓜,條,150.0
大腸,條,200.0
滷大腸,條,200.0
1.鹽,又1/2小匙,2.5
小黃瓜丁,條,150.0
酸白菜,顆,1000.0
高湯罐頭,罐,450.0
牛奶,c.c.,1.03
黃豆乾,片,25.0
辣油,又1/2茶匙,2.5
1.蔥,支,30.0
高湯,大杯,250.0
麻辣滷汁,CC,1.0
牛肚,付,200.0
湯底:大白菜,株,1000.0
蒜仁1,顆,5.0
"火鍋料：
鯛魚片",片,30.0
蘋果咖哩滷汁,鍋,2000.0
1.去骨雞腿,隻,200.0
2.新鮮迷迭香,枝,7.0
生辣椒片,根,15.0
1.白吐司,片,28.0
杏鮑菇,大支,100.0
仿土雞腿,一隻,200.0
2.水,~150g,150.0
胚芽米飯,碗,200.0
B.草莓,顆,15.0
小薄片水餃皮,張,5.0
雞腿,~3隻,250.0
綠竹筍,~3支,200.0
竹筍,隨意,0.0
粉絲,人份,75.0
九層塔葉,支,15.0
"滷牛筋材料：
蔥",支,15.0
土雞腿,支,250.0
